#separator:Tab
#notetype:Basic
#tags:21g110
#columns:Front	Back
「了解」跟「理解」的區別	「了解」用於直觀事物或信息。「理解」用於抽象事物。比如「我了解她這樣做的原因，但我不理解她爲什麼這樣做」。「理解」比「了解」更深入。
「攔住」跟「擋住」的區別	「攔住」是故意的，不想讓過去，比如「警察攔住了他」。「擋住」不一定是故意的，例如「一輛車把我擋住了」。
「漂亮」跟「優美」的區別	「漂亮」一般是眼睛能看到的東西。「優美」可以是看到的風景，也可以是聽到的聲音，例如「古典音樂很優美」。
cause/create stress	「給他造成壓力」或「給他帶來壓力」
「歧視」跟「啟示」的區別	歧視 [～视] (qí shì) 輕視，以不公平的態度相待。如：「種族歧視」。似：鄙視、蔑視、藐視、敵視、輕視反：尊重<br><br>啟示 [启～] (qǐ shì) ① 啟發指示，使人有所領悟。如：「賢者言語，閃爍著智慧的火花，啟示吾人生命的方向。」似：開發、啟發、啟迪、誘導② 使人有所領悟的啟發與指示。如：「從失敗中得到的啟示，更為珍貴。」
