乐团	樂團	yue4tuan2	orchestra; band
状元	狀元	zhuang4yuan2	top scorer in the Chinese imperial examination; number one scholar
努力	努力	nu3li4	work hard; strive
怎么回事	怎麼回事	zen3me5hui2shi4	what's this; what's the matter
大喊大叫	大喊大叫	da4han3da4jiao4	yell and shout
期中考	期中考	qi1zhong1kao3	mid-term exam
密集班	密集班	mi4ji2ban1	intensive class
毕业展	畢業展	bi4ye4zhan3	graduation exhibition
服装设计	服裝設計	fu2zhuang1 she4ji4	costume design; dress design
医学系	醫學系	yi1xue2xi4	medical school
行行出状元	行行出狀元	hang2hang2chu1zhuang4yuan5	one may distinguish himself in any trade
冠军	冠軍	guan4jun1	champion
大赛	大賽	da4sai4	big competition; contest
通过	通過	tong1guo4	by means of; through (a method); pass through; via; pass (a test)
高级	高級	gao1ji2	high-level; high-grade; advanced
硕士	碩士	shuo4shi4	master's degree
面试	面試	mian4shi4	interview in person; audition
却	卻	que4	but; yet; however; step back
国中	國中	guo2zhong1	state-run middle school
学历	學歷	xue2li4	record of formal schooling; academic credentials; academic background
拒绝	拒絕	ju4jue2	refuse; decline; reject
引起	引起	yin3qi3	give rise to; lead to; to cause; to draw; attract
弹性	彈性	tan2xing4	flexibility; elasticity
改变	改變	gai3bian4	to change; alter; transform
制度	制度	zhi4du4	system; institution
基础	基礎	ji1chu3	base; foundation
知音	知音	zhi1yin1	soul mate; intimate friend; lover
想像	想像	xiang3xiang4	to imagine; to fancy; to visualize;; imagination
喇叭裤	喇叭褲	la3ba5ku4	flares (trousers)
印象	印象	yin4xiang4	impression; a memory
游戏	遊戲	you2xi4	game; play; recreation
化妆	化妝	hua4zhuang1	makeup; apply makeup
一模一样	一模一樣	yi4mu2yi2yang4	exactly alike (also pronounced mó)
浅蓝色	淺藍色	qian3lan2se4	light blue
脱掉	脫掉	tuo1diao4	to take off
小题大作	小題大作	xiao3ti2da4zuo4	make a fuss over a trifle; make a mountain out of a molehill
推出	推出	tui1chu1	release; launch; push out; present to the public
李文彦	李文彥	li3wen2yan4	Male Person's name
表哥	表哥	biao3ge1	older male cousin (sons of paternal aunts or maternal uncles and aunts)
随便	隨便	sui2bian4	as one pleases; informal; random; casual; it doesn't matter
种	種	zhong3, zhong4	type; breed; race; seed; to plant
蔬菜	蔬菜	shu1cai4	vegetables; produce
农夫	農夫	nong2fu1	peasant; farmer
减少	減少	jian3shao3	reduce; to decrease
农药	農藥	nong2yao4	agricultural chemical; pesticide
天然	天然	tian1ran2	natural; naturally-formed
堆肥	堆肥	dui1fei2	compost
辛苦	辛苦	xin1ku3	hard; exhausting; toilsome; laborious
地位	地位	di4wei4	position; status; standing
收入	收入	shou1ru4	take in; income; revenue
利润	利潤	li4run4	profit
屋子	屋子	wu1zi5	room; house
番茄	番茄	fan1qie2	tomato
品种	品種	pin3zhong3	breed; variety
气候	氣候	qi4hou4	climate; atmosphere; weather
长	長	chang2, zhang3	long; length; grow; chief (Kangxi radical 168)
